VRBORAN 110/35/10 TR1 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 110/35/10 TR2 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 35 TP1 STRUJA ;;;;VRBORAN 35 TP1 RADNA SNAGA ;;;;VRBORAN 35 TP1 JALOVA SNAGA ;;;;VRBORAN 35 TP1 NAPON ;;;;VRBORAN 35 TP2 STRUJA ;;;;VRBORAN 35 TP2 RADNA SNAGA ;;;;VRBORAN 35 TP2 JALOVA SNAGA ;;;;VRBORAN 35 TP2 NAPON ;;;;
4.12.2024. 10:02:08;;2;;4.12.2024. 10:05:52;;2;;4.12.2024. 9:39:44;;67,867477;;4.12.2024. 9:39:34;;4,085934;;4.12.2024. 9:39:36;;-0,835564;;4.12.2024. 9:39:44;;35,157619;;4.12.2024. 9:38:24;;70,397064;;4.12.2024. 9:38:54;;4,173192;;4.12.2024. 9:39:32;;1,117949;;4.12.2024. 9:39:44;;35,032349;;
4.12.2024. 10:04:00;;2;;4.12.2024. 10:06:16;;2;;4.12.2024. 9:39:46;;67,867477;;4.12.2024. 9:39:54;;4,060849;;4.12.2024. 9:39:46;;-0,794355;;4.12.2024. 9:40:12;;35,174538;;4.12.2024. 9:40:20;;66,660011;;4.12.2024. 9:39:54;;4,053167;;4.12.2024. 9:39:54;;1,152372;;4.12.2024. 9:39:52;;35,032349;;
4.12.2024. 10:05:52;;2;;4.12.2024. 10:07:44;;3;;4.12.2024. 9:40:16;;66,052567;;4.12.2024. 9:40:20;;3,960687;;4.12.2024. 9:41:26;;-0,868489;;4.12.2024. 9:41:36;;34,539623;;4.12.2024. 9:40:48;;68,640228;;4.12.2024. 9:40:18;;3,941335;;4.12.2024. 9:41:36;;1,040027;;4.12.2024. 9:41:36;;34,270069;;
4.12.2024. 10:07:44;;2;;4.12.2024. 10:07:46;;3;;4.12.2024. 9:41:38;;67,538437;;4.12.2024. 9:41:56;;3,931102;;4.12.2024. 9:41:44;;-0,866688;;4.12.2024. 9:41:56;;33,915001;;4.12.2024. 9:42:00;;68,541245;;4.12.2024. 9:42:00;;4,069489;;4.12.2024. 9:42:00;;1,149892;;4.12.2024. 9:41:56;;33,78046;;
4.12.2024. 10:08:50;;1;;4.12.2024. 10:09:36;;2;;4.12.2024. 9:43:28;;65,126381;;4.12.2024. 9:42:08;;4,170252;;4.12.2024. 9:42:16;;0,347345;;4.12.2024. 9:43:28;;35,206444;;4.12.2024. 9:43:28;;61,612572;;4.12.2024. 9:43:28;;3,855599;;4.12.2024. 9:43:18;;0,087404;;4.12.2024. 9:43:28;;35,109165;;
4.12.2024. 10:09:36;;2;;4.12.2024. 10:11:24;;2;;4.12.2024. 9:44:12;;65,657257;;4.12.2024. 9:44:32;;4,09506;;4.12.2024. 9:43:36;;0,148985;;4.12.2024. 9:44:26;;35,22794;;4.12.2024. 9:44:08;;63,018494;;4.12.2024. 9:44:34;;3,871442;;4.12.2024. 9:43:36;;0,071358;;4.12.2024. 9:43:34;;35,109165;;
4.12.2024. 10:11:28;;2;;4.12.2024. 10:11:28;;3;;4.12.2024. 9:44:48;;64,6091;;4.12.2024. 9:44:58;;4,015234;;4.12.2024. 9:44:24;;0,214236;;4.12.2024. 9:45:20;;35,194115;;4.12.2024. 9:45:00;;61,526108;;4.12.2024. 9:44:56;;3,80788;;4.12.2024. 9:45:20;;0,122867;;4.12.2024. 9:44:44;;35,050831;;
4.12.2024. 10:13:20;;2;;4.12.2024. 10:13:20;;3;;4.12.2024. 9:45:52;;64,509674;;4.12.2024. 9:45:52;;4,021052;;4.12.2024. 9:45:32;;0,241576;;4.12.2024. 9:45:54;;35,183819;;4.12.2024. 9:45:34;;62,807938;;4.12.2024. 9:46:38;;3,813417;;4.12.2024. 9:45:24;;0,159566;;4.12.2024. 9:46:54;;35,055855;;
4.12.2024. 10:15:04;;2;;4.12.2024. 10:14:24;;3;;4.12.2024. 9:47:02;;65,995483;;4.12.2024. 9:47:12;;4,094274;;4.12.2024. 9:46:08;;0,160439;;4.12.2024. 9:47:12;;35,240303;;4.12.2024. 9:45:42;;61,447685;;4.12.2024. 9:47:08;;3,886877;;4.12.2024. 9:46:10;;0,087742;;4.12.2024. 9:47:12;;35,103607;;
4.12.2024. 10:15:12;;1;;4.12.2024. 10:15:12;;2;;4.12.2024. 9:47:22;;65,519058;;4.12.2024. 9:48:00;;4,175052;;4.12.2024. 9:48:24;;0,246639;;4.12.2024. 9:48:24;;35,436409;;4.12.2024. 9:47:32;;62,455421;;4.12.2024. 9:47:34;;3,889305;;4.12.2024. 9:47:14;;0,106761;;4.12.2024. 9:48:24;;35,319077;;
