SINJ 110 TP1 STRUJA ;;;;SINJ 110 TP2 STRUJA ;;;;SINJ 110/35 TR1 POLOŽAJ REG SKLOPKE ;;;;SINJ 110/35 TR2 POLOŽAJ REG SKLOPKE ;;;;SINJ 35 MP1 NAPON ;;;;SINJ 35 MP2 NAPON ;;;;SINJ 35 TP1 7SJ STRUJA ;;;;SINJ 35 TP1 7SJ RADNA SNAGA ;;;;SINJ 35 TP1 7SJ JALOVA SNAGA ;;;;SINJ 35 TP1 NAPON ;;;;SINJ 35 TP2 7SJ STRUJA ;;;;SINJ 35 TP2 7SJ RADNA SNAGA ;;;;SINJ 35 TP2 7SJ JALOVA SNAGA ;;;;SINJ 35 TP2 NAPON ;;;;
4.12.2024. 9:49:20;;48,485268;;4.12.2024. 9:49:08;;71,609009;;4.12.2024. 10:10:40;;3;;4.12.2024. 10:13:20;;3;;4.12.2024. 9:49:06;;34,912914;;4.12.2024. 9:48:14;;34,883747;;4.12.2024. 9:48:48;;159,628433;;4.12.2024. 9:49:20;;-9,76194;;4.12.2024. 9:49:20;;-0,785603;;4.12.2024. 9:49:20;;34,796902;;4.12.2024. 9:49:20;;231,237442;;4.12.2024. 9:49:08;;-14,292641;;4.12.2024. 9:49:20;;-0,720553;;4.12.2024. 9:49:20;;34,750317;;
4.12.2024. 9:50:12;;47,739342;;4.12.2024. 9:49:46;;70,863083;;4.12.2024. 10:13:20;;3;;4.12.2024. 10:14:36;;3;;4.12.2024. 9:51:16;;34,352024;;4.12.2024. 9:49:54;;35,152554;;4.12.2024. 9:49:28;;164,104004;;4.12.2024. 9:51:26;;-9,565123;;4.12.2024. 9:51:24;;-0,647442;;4.12.2024. 9:51:10;;34,237911;;4.12.2024. 9:49:28;;231,237442;;4.12.2024. 9:49:42;;-14,21258;;4.12.2024. 9:51:26;;-0,4345;;4.12.2024. 9:51:12;;34,284496;;
4.12.2024. 9:51:52;;49,977127;;4.12.2024. 9:52:00;;67,879379;;4.12.2024. 10:14:44;;1;;4.12.2024. 10:16:00;;1;;4.12.2024. 9:51:36;;35,302814;;4.12.2024. 9:51:14;;34,293423;;4.12.2024. 9:50:38;;158,136581;;4.12.2024. 9:52:00;;-9,862573;;4.12.2024. 9:52:00;;-0,852599;;4.12.2024. 9:52:00;;35,216137;;4.12.2024. 9:52:00;;219,302612;;4.12.2024. 9:51:36;;-13,511208;;4.12.2024. 9:52:00;;-0,858715;;4.12.2024. 9:51:56;;35,122974;;
4.12.2024. 9:52:10;;48,485268;;4.12.2024. 9:52:18;;67,879379;;4.12.2024. 10:16:00;;3;;4.12.2024. 10:17:32;;7;;4.12.2024. 9:52:06;;35,085411;;4.12.2024. 9:52:34;;34,984692;;4.12.2024. 9:52:02;;159,628433;;4.12.2024. 9:53:16;;-9,839222;;4.12.2024. 9:52:20;;-0,852599;;4.12.2024. 9:53:02;;35,076393;;4.12.2024. 9:52:36;;219,302612;;4.12.2024. 9:52:02;;-13,597107;;4.12.2024. 9:52:02;;-0,858715;;4.12.2024. 9:52:46;;35,029812;;
4.12.2024. 9:54:04;;49,977127;;4.12.2024. 9:54:28;;64,895668;;4.12.2024. 10:17:32;;7;;4.12.2024. 10:17:54;;1;;4.12.2024. 9:53:26;;35,564381;;4.12.2024. 9:53:24;;35,473495;;4.12.2024. 9:54:04;;164,104004;;4.12.2024. 9:53:58;;-9,957089;;4.12.2024. 9:53:36;;-1,028568;;4.12.2024. 9:54:24;;35,309303;;4.12.2024. 9:54:38;;211,843353;;4.12.2024. 9:54:32;;-13,072259;;4.12.2024. 9:54:40;;-1,084166;;4.12.2024. 9:53:40;;35,355885;;
4.12.2024. 9:55:44;;49,231194;;4.12.2024. 9:55:08;;65,641602;;4.12.2024. 10:17:54;;1;;4.12.2024. 10:21:02;;4;;4.12.2024. 9:55:36;;35,58548;;4.12.2024. 9:55:44;;35,611759;;4.12.2024. 9:56:48;;161,120285;;4.12.2024. 9:55:48;;-9,931236;;4.12.2024. 9:55:50;;-1,060537;;4.12.2024. 9:55:36;;35,542213;;4.12.2024. 9:55:00;;213,335205;;4.12.2024. 9:55:00;;-13,150097;;4.12.2024. 9:55:42;;-1,231501;;4.12.2024. 9:55:34;;35,588795;;
4.12.2024. 9:57:20;;48,485268;;4.12.2024. 9:57:04;;61,911957;;4.12.2024. 10:21:02;;4;;4.12.2024. 10:21:04;;1;;4.12.2024. 9:56:56;;34,547298;;4.12.2024. 9:57:04;;34,591019;;4.12.2024. 9:57:20;;162,612152;;4.12.2024. 9:57:06;;-9,642404;;4.12.2024. 9:57:10;;-0,686082;;4.12.2024. 9:57:20;;34,517406;;4.12.2024. 9:57:20;;204,384064;;4.12.2024. 9:57:18;;-12,515443;;4.12.2024. 9:57:20;;-0,574052;;4.12.2024. 9:57:20;;34,563988;;
4.12.2024. 9:59:36;;52,214905;;4.12.2024. 9:57:30;;62,65789;;4.12.2024. 10:21:04;;1;;4.12.2024. 10:23:52;;1;;4.12.2024. 9:58:16;;34,276939;;4.12.2024. 9:57:54;;34,150349;;4.12.2024. 9:57:30;;162,612152;;4.12.2024. 9:57:32;;-9,769724;;4.12.2024. 9:59:38;;-1,397184;;4.12.2024. 9:58:16;;34,470821;;4.12.2024. 9:57:24;;204,384064;;4.12.2024. 9:57:54;;-12,616632;;4.12.2024. 9:59:34;;-1,985969;;4.12.2024. 9:57:50;;34,331078;;
4.12.2024. 10:00:00;;48,485268;;4.12.2024. 10:00:00;;68,625305;;4.12.2024. 10:23:52;;1;;4.12.2024. 10:24:00;;4;;4.12.2024. 9:59:36;;36,183437;;4.12.2024. 9:59:34;;36,247547;;4.12.2024. 10:00:00;;168,579559;;4.12.2024. 9:59:38;;-10,65735;;4.12.2024. 10:00:00;;-0,596847;;4.12.2024. 9:59:24;;36,613605;;4.12.2024. 10:00:00;;226,761887;;4.12.2024. 10:00:00;;-13,887329;;4.12.2024. 10:00:00;;-0,341373;;4.12.2024. 9:59:26;;36,473858;;
4.12.2024. 10:01:34;;49,231194;;4.12.2024. 10:01:34;;67,879379;;4.12.2024. 10:24:00;;4;;4.12.2024. 10:24:02;;1;;4.12.2024. 10:01:36;;35,004826;;4.12.2024. 10:00:14;;35,014397;;4.12.2024. 10:00:12;;168,579559;;4.12.2024. 10:00:12;;-10,163359;;4.12.2024. 10:00:30;;-0,520678;;4.12.2024. 10:01:14;;34,750317;;4.12.2024. 10:00:16;;226,761887;;4.12.2024. 10:00:18;;-13,887329;;4.12.2024. 10:00:06;;-0,341373;;4.12.2024. 10:02:36;;34,796902;;
