METERIZ 110 HE ZAK/2 STRUJA ;;;;METERIZ 110 HE ZAK/2 RADNA SNAGA ;;;;METERIZ 110 HE ZAK/2 JALOVA SNAGA ;;;;METERIZ 110 HE ZAK/2 NAPON ;;;;HE ZAK 110 METERIZ/2 STRUJA ;;;;HE ZAK 110 METERIZ/2 RADNA SNAGA ;;;;HE ZAK 110 METERIZ/2 JALOVA SNAGA ;;;;HE ZAK 110 METERIZ/2 NAPON ;;;;
4.12.2024. 10:01:36;;0;;4.12.2024. 10:01:12;;-0,023957;;4.12.2024. 10:01:36;;0,758587;;4.12.2024. 9:38:22;;118,522858;;4.12.2024. 10:01:36;;0;;4.12.2024. 10:00:04;;0,001978;;4.12.2024. 10:01:36;;-0,00218;;4.12.2024. 9:38:22;;118,689735;;
4.12.2024. 10:03:08;;0;;4.12.2024. 10:01:36;;-0,026896;;4.12.2024. 10:03:08;;0,758587;;4.12.2024. 9:38:36;;118,497887;;4.12.2024. 10:03:08;;0;;4.12.2024. 10:01:36;;0,001978;;4.12.2024. 10:03:08;;-0,00218;;4.12.2024. 9:38:36;;118,628632;;
4.12.2024. 10:04:40;;0;;4.12.2024. 10:03:08;;-0,026896;;4.12.2024. 10:04:32;;0,758587;;4.12.2024. 9:39:18;;118,497887;;4.12.2024. 10:04:40;;0;;4.12.2024. 10:03:08;;0,001978;;4.12.2024. 10:04:40;;-0,00218;;4.12.2024. 9:39:58;;118,58474;;
4.12.2024. 10:06:12;;0;;4.12.2024. 10:04:40;;-0,026896;;4.12.2024. 10:04:40;;0,760675;;4.12.2024. 9:40:08;;118,54438;;4.12.2024. 10:06:12;;0;;4.12.2024. 10:04:40;;0,001978;;4.12.2024. 10:06:12;;-0,00218;;4.12.2024. 9:40:08;;118,655914;;
4.12.2024. 10:07:44;;0;;4.12.2024. 10:06:12;;-0,026896;;4.12.2024. 10:06:12;;0,760675;;4.12.2024. 9:41:24;;118,597633;;4.12.2024. 10:07:44;;0;;4.12.2024. 10:06:12;;0,001978;;4.12.2024. 10:07:44;;-0,00218;;4.12.2024. 9:41:24;;118,716698;;
4.12.2024. 10:09:16;;0;;4.12.2024. 10:07:44;;-0,026896;;4.12.2024. 10:07:44;;0,760675;;4.12.2024. 9:41:30;;118,105179;;4.12.2024. 10:09:16;;0;;4.12.2024. 10:07:44;;0,001978;;4.12.2024. 10:09:16;;-0,00218;;4.12.2024. 9:41:26;;117,630135;;
4.12.2024. 10:10:48;;0;;4.12.2024. 10:09:16;;-0,026896;;4.12.2024. 10:09:16;;0,760675;;4.12.2024. 9:42:44;;118,575493;;4.12.2024. 10:10:48;;0;;4.12.2024. 10:09:16;;0,001978;;4.12.2024. 10:10:48;;-0,00218;;4.12.2024. 9:42:30;;118,710815;;
4.12.2024. 10:12:20;;0;;4.12.2024. 10:10:48;;-0,026896;;4.12.2024. 10:10:48;;0,760675;;4.12.2024. 9:43:12;;118,593369;;4.12.2024. 10:12:20;;0;;4.12.2024. 10:10:48;;0,001978;;4.12.2024. 10:12:20;;-0,00218;;4.12.2024. 9:43:12;;118,731766;;
4.12.2024. 10:13:52;;0;;4.12.2024. 10:12:20;;-0,026896;;4.12.2024. 10:12:20;;0,760675;;4.12.2024. 9:43:52;;118,593369;;4.12.2024. 10:13:52;;0;;4.12.2024. 10:12:20;;0,001978;;4.12.2024. 10:13:52;;-0,00218;;4.12.2024. 9:44:02;;118,70118;;
4.12.2024. 10:15:24;;0;;4.12.2024. 10:13:52;;-0,026896;;4.12.2024. 10:13:52;;0,760675;;4.12.2024. 9:44:44;;118,619644;;4.12.2024. 10:15:24;;0;;4.12.2024. 10:13:52;;0,001978;;4.12.2024. 10:15:24;;-0,00218;;4.12.2024. 9:44:28;;118,782623;;
